number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
20,0.7702721543322684,2026-09-20 02:28:44.289698,2026-09-20 02:28:47.445334,0 days 00:00:03.155636,0.7806164391211156,1.360929089933039,0.0838313940494523,10,90,0.3031010946611045,2.14132792246926,0.8399237459365168,0.6132193088531495,0.0123992919921875,0.7702721543322684,0.7555216145270152,0.7762093636937848,0.772462549389002,0.7704887520335675,0.7766784920179728,0.005720794505928616,0.001350921542013214,0.007729356857603169,"[0.7555216145270152, 0.7762093636937848, 0.772462549389002, 0.7704887520335675, 0.7766784920179728]","{""colsample_bytree"": 0.7806164391211156, ""gamma"": 1.360929089933039, ""learning_rate"": 0.0838313940494523, ""max_depth"": 10, ""n_estimators"": 90, ""reg_alpha"": 0.3031010946611045, ""reg_lambda"": 2.14132792246926, ""subsample"": 0.8399237459365168}",COMPLETE
21,0.7704843506155177,2026-09-20 02:28:47.446332,2026-09-20 02:28:49.481460,0 days 00:00:02.035128,0.6983966575689513,3.3499459299643255,0.04798062569413198,9,59,0.4002548633518529,2.7859588407038958,0.8114225262822905,0.392588472366333,0.01041097640991211,0.7704843506155177,0.7664960173636572,0.7762150575239155,0.7690183316900466,0.7679388358337852,0.7727535106661839,0.0072427103750941245,0.001170896196119001,0.0035362620979574383,"[0.7664960173636572, 0.7762150575239155, 0.7690183316900466, 0.7679388358337852, 0.7727535106661839]","{""colsample_bytree"": 0.6983966575689513, ""gamma"": 3.3499459299643255, ""learning_rate"": 0.04798062569413198, ""max_depth"": 9, ""n_estimators"": 59, ""reg_alpha"": 0.4002548633518529, ""reg_lambda"": 2.7859588407038958, ""subsample"": 0.8114225262822905}",COMPLETE
22,0.7683103939601528,2026-09-20 02:28:49.481976,2026-09-20 02:28:52.301894,0 days 00:00:02.819918,0.7035274750903119,3.1802832897826256,0.07533245223359492,10,87,0.09940449056993307,2.3707043695456975,0.7980620607885793,0.5487113952636719,0.011713886260986328,0.7683103939601528,0.7673414235675657,0.7743157893851688,0.7688519612020319,0.7623846266610498,0.768658168984948,0.02497239305902805,0.0008618977005973815,0.003808743584464029,"[0.7673414235675657, 0.7743157893851688, 0.7688519612020319, 0.7623846266610498, 0.768658168984948]","{""colsample_bytree"": 0.7035274750903119, ""gamma"": 3.1802832897826256, ""learning_rate"": 0.07533245223359492, ""max_depth"": 10, ""n_estimators"": 87, ""reg_alpha"": 0.09940449056993307, ""reg_lambda"": 2.3707043695456975, ""subsample"": 0.7980620607885793}",COMPLETE
23,0.7707198053952569,2026-09-20 02:28:52.302900,2026-09-20 02:28:54.767485,0 days 00:00:02.464585,0.6574959256214199,2.475098158404397,0.09026154706519175,8,87,0.2287480801828633,2.3475360167722803,0.8790070060719337,0.4775688648223877,0.011018943786621094,0.7707198053952569,0.7620001656811201,0.7788632378180805,0.7730748223319415,0.7635897734283353,0.7760710277168068,0.016700110084019514,0.0008484802581515918,0.006743391569907477,"[0.7620001656811201, 0.7788632378180805, 0.7730748223319415, 0.7635897734283353, 0.7760710277168068]","{""colsample_bytree"": 0.6574959256214199, ""gamma"": 2.475098158404397, ""learning_rate"": 0.09026154706519175, ""max_depth"": 8, ""n_estimators"": 87, ""reg_alpha"": 0.2287480801828633, ""reg_lambda"": 2.3475360167722803, ""subsample"": 0.8790070060719337}",COMPLETE
24,0.7714852048242469,2026-09-20 02:28:54.767989,2026-09-20 02:28:56.862400,0 days 00:00:02.094411,0.7155304956550108,2.348970559662543,0.03946317779587623,10,53,0.4863618838877515,4.372456604882085,0.9142319411915429,0.4020188331604004,0.011521530151367188,0.7714852048242469,0.7679300880130048,0.774347603151908,0.7763324011642505,0.7660404744400621,0.7727754573520083,0.007834883604742915,0.001389895164996109,0.0038894043921448374,"[0.7679300880130048, 0.774347603151908, 0.7763324011642505, 0.7660404744400621, 0.7727754573520083]","{""colsample_bytree"": 0.7155304956550108, ""gamma"": 2.348970559662543, ""learning_rate"": 0.03946317779587623, ""max_depth"": 10, ""n_estimators"": 53, ""reg_alpha"": 0.4863618838877515, ""reg_lambda"": 4.372456604882085, ""subsample"": 0.9142319411915429}",COMPLETE
25,0.7708739981811823,2026-09-20 02:28:56.864428,2026-09-20 02:28:59.806507,0 days 00:00:02.942079,0.6735160409338475,2.0396385133936907,0.02192982625839797,10,70,0.1896197395996116,1.7065570396909338,0.8802029404732108,0.5724229335784912,0.01219782829284668,0.7708739981811823,0.7654930833599125,0.7765752052817863,0.7734442845016275,0.7666903344034,0.7721670833591853,0.009856091382629004,0.0017138787150589667,0.004177068119384807,"[0.7654930833599125, 0.7765752052817863, 0.7734442845016275, 0.7666903344034, 0.7721670833591853]","{""colsample_bytree"": 0.6735160409338475, ""gamma"": 2.0396385133936907, ""learning_rate"": 0.02192982625839797, ""max_depth"": 10, ""n_estimators"": 70, ""reg_alpha"": 0.1896197395996116, ""reg_lambda"": 1.7065570396909338, ""subsample"": 0.8802029404732108}",COMPLETE
26,0.7688547617675763,2026-09-20 02:28:59.806507,2026-09-20 02:29:02.257116,0 days 00:00:02.450609,0.6494102290535726,3.332731522129282,0.04222224944617583,9,70,0.2968571259088129,4.967247078459415,0.827493322934283,0.4751901149749756,0.010546445846557617,0.7688547617675763,0.7645685820350702,0.774873029335141,0.7738419022358756,0.7620266699428334,0.7689636252889616,0.019247877595235836,0.0018448165838229826,0.005021894871422639,"[0.7645685820350702, 0.774873029335141, 0.7738419022358756, 0.7620266699428334, 0.7689636252889616]","{""colsample_bytree"": 0.6494102290535726, ""gamma"": 3.332731522129282, ""learning_rate"": 0.04222224944617583, ""max_depth"": 9, ""n_estimators"": 70, ""reg_alpha"": 0.2968571259088129, ""reg_lambda"": 4.967247078459415, ""subsample"": 0.827493322934283}",COMPLETE
27,0.7679651297761296,2026-09-20 02:29:02.259138,2026-09-20 02:29:04.202044,0 days 00:00:01.942906,0.7170802784823869,4.200796173517656,0.12483945582133052,10,71,0.5195185526024665,4.919813904545551,0.903841324819526,0.3759763717651367,0.00944066047668457,0.7679651297761296,0.7593319546033594,0.7700286953774989,0.7739617216979748,0.7649084251493325,0.771594852052482,0.011878627684465294,0.000715604585771341,0.005239607966460093,"[0.7593319546033594, 0.7700286953774989, 0.7739617216979748, 0.7649084251493325, 0.771594852052482]","{""colsample_bytree"": 0.7170802784823869, ""gamma"": 4.200796173517656, ""learning_rate"": 0.12483945582133052, ""max_depth"": 10, ""n_estimators"": 71, ""reg_alpha"": 0.5195185526024665, ""reg_lambda"": 4.919813904545551, ""subsample"": 0.903841324819526}",COMPLETE
28,0.7718205918487333,2026-09-20 02:29:04.203562,2026-09-20 02:29:06.285059,0 days 00:00:02.081497,0.6634745088511544,3.925272368899524,0.0632997348393926,7,75,0.11132491728663596,3.3929444180199297,0.8392147519013871,0.40189399719238283,0.010716533660888672,0.7718205918487333,0.767909932374311,0.7796004231859788,0.7724378702670224,0.768192752437696,0.7709619809786581,0.009576945632315967,0.0007026639842756485,0.004244961654127097,"[0.767909932374311, 0.7796004231859788, 0.7724378702670224, 0.768192752437696, 0.7709619809786581]","{""colsample_bytree"": 0.6634745088511544, ""gamma"": 3.925272368899524, ""learning_rate"": 0.0632997348393926, ""max_depth"": 7, ""n_estimators"": 75, ""reg_alpha"": 0.11132491728663596, ""reg_lambda"": 3.3929444180199297, ""subsample"": 0.8392147519013871}",COMPLETE
29,0.7725413684696514,2026-09-20 02:29:06.286057,2026-09-20 02:29:09.541912,0 days 00:00:03.255855,0.7272896396195273,4.041637263699805,0.03580693163067034,8,107,0.10333425879199239,1.6325840140948675,0.8824103300996958,0.6334003925323486,0.01235966682434082,0.7725413684696514,0.7670509782386199,0.7748121284238708,0.7768195709922259,0.7687095646801121,0.7753146000134289,0.019317571593584004,0.0008939760591454328,0.003898135091547896,"[0.7670509782386199, 0.7748121284238708, 0.7768195709922259, 0.7687095646801121, 0.7753146000134289]","{""colsample_bytree"": 0.7272896396195273, ""gamma"": 4.041637263699805, ""learning_rate"": 0.03580693163067034, ""max_depth"": 8, ""n_estimators"": 107, ""reg_alpha"": 0.10333425879199239, ""reg_lambda"": 1.6325840140948675, ""subsample"": 0.8824103300996958}",COMPLETE
